epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
0.000000000000000000e+00,2.002523408102886704e-02,1.877407521024670664e-02,2.019183003098035459e-02,2.195389714834247719e-02,2.154077760899081317e-02,2.080375927566938815e-02,1.995367384718914339e-02,1.972587133690169997e-02,1.999263864526141035e-02,2.336959349239947636e-02,2.045571802699675673e-02,2.074487888612512598e-02,1.987982897310739197e-02,1.893251171926218709e-02,1.966630621138601084e-02,2.263585430241147473e-02,2.221521100507488009e-02,2.090333944612678477e-02,1.661843554610361109e-02,1.957584225518789814e-02,2.042716573585283413e-02,2.148343315208256152e-02,2.113880554809093384e-02,1.995429527695729080e-02,2.118569328580020492e-02,2.128551385332287313e-02,2.062440059735070122e-02,2.153511318753630402e-02,2.027184007434944257e-02,2.019802960687007432e-02,0.000000000000000000e+00
1.010101010101010187e-02,1.084551059194540680e-02,1.354732076832906515e-02,1.242537323383084528e-02,1.350583577569340957e-02,1.379470550609907149e-02,1.361067228317543523e-02,1.210950040257648304e-02,1.204107553335664361e-02,1.199106333900376055e-02,1.405490661655210000e-02,1.161799896711993886e-02,1.216657716862059799e-02,1.232286898412865601e-02,1.198446911631883584e-02,1.241761249194062861e-02,1.244578643557730374e-02,1.220581418832844545e-02,1.191407151229167266e-02,1.117613081526876162e-02,1.163757277098622506e-02,1.170577208047380441e-02,1.167329859122947372e-02,1.098862593775946049e-02,1.278346979501262040e-02,1.221112607419970984e-02,1.232430119722818275e-02,1.259924997767724285e-02,1.279066456443917442e-02,1.309813345480950568e-02,1.262686025898758328e-02,0.000000000000000000e+00
2.020202020202020374e-02,5.885736997182256826e-03,6.702797923255631590e-03,6.903180426441134221e-03,5.477371632452923342e-03,6.215102573570286011e-03,6.514322681599369301e-03,7.596736141264878901e-03,5.450688029964657899e-03,4.323644296192738490e-03,7.029224708315988043e-03,5.114528326248667968e-03,7.394937457477243452e-03,5.951840051614290007e-03,5.024689045105178858e-03,7.146040861903883538e-03,5.184553982745285922e-03,7.049113419430843436e-03,6.712555400143822848e-03,5.512485827646180885e-03,5.482143741274939953e-03,8.116717316748194369e-03,7.271169094444166099e-03,5.642304493733034387e-03,5.983443824420849044e-03,7.290233192429443169e-03,6.060321773635456502e-03,7.215705093752100042e-03,6.232327013243127260e-03,6.497661117663801507e-03,5.158914614528912687e-03,0.000000000000000000e+00
3.030303030303030387e-02,5.677842900257103892e-03,5.369878955805242049e-03,5.729258241692375409e-03,5.002749244165651150e-03,8.924259072886667546e-03,5.283710817219277114e-03,6.618904743233581557e-03,5.919890201684486521e-03,5.464430436925699769e-03,6.483548411171153984e-03,7.645096467671286776e-03,7.484089791016674230e-03,8.349946107610516435e-03,5.925023206705607240e-03,6.282801922709324929e-03,5.070493072670546365e-03,5.377834136527455747e-03,5.318072959258832166e-03,6.300793600809345696e-03,7.600421040968717568e-03,5.149087297764526686e-03,6.505835841765453958e-03,6.722350779303322595e-03,5.677640354936194442e-03,5.934441844015324145e-03,4.504875137004354241e-03,6.565059024867940865e-03,5.719606629830411258e-03,5.242852277148384206e-03,8.058901910310114006e-03,0.000000000000000000e+00
4.040404040404040747e-02,3.335505958621570038e-03,3.421856221409660601e-03,3.619392214170771317e-03,3.751413067098849797e-03,4.157354928316801292e-03,3.208410821575067608e-03,3.149904760464988969e-03,3.330165161069342274e-03,3.566286584109583727e-03,3.602277057640069450e-03,3.134581311754409613e-03,3.856565829854327349e-03,4.081960313378854913e-03,3.208410821575067174e-03,3.374181382202207351e-03,3.270152901624020364e-03,3.723157262324544841e-03,4.139311536958773137e-03,3.155946767611899576e-03,3.384951993751167051e-03,3.203123475609393010e-03,3.862369738903824890e-03,3.658565292570299058e-03,3.020331107676772243e-03,3.217701042670061389e-03,3.138853293800142243e-03,3.732773767588922972e-03,3.809409403043994159e-03,3.924334338457924690e-03,3.365991681510814397e-03,0.000000000000000000e+00
5.050505050505051108e-02,2.942295022597156504e-03,3.345609062637176084e-03,3.171419240655514154e-03,2.815581645060217207e-03,3.412843389316304495e-03,3.051229260478471612e-03,2.692118125194360809e-03,2.793044933401537654e-03,3.315780451115543735e-03,3.320767983464065903e-03,2.238995310401520594e-03,3.195309061734091273e-03,2.706492194705168233e-03,2.713595400939498685e-03,2.364296935666076842e-03,3.551957206949430800e-03,2.650943228362312790e-03,3.791622344063289712e-03,2.768320790659926315e-03,3.085838621833617186e-03,2.890173005202283704e-03,3.310755200856746894e-03,3.289665636504719801e-03,3.031088913245535109e-03,3.531274557436733536e-03,2.823809483658555521e-03,2.451203785897859699e-03,3.166638596366816438e-03,2.761792895928295855e-03,3.111526956335104732e-03,0.000000000000000000e+00
6.060606060606060774e-02,3.355279422045203980e-03,2.995646841668757072e-03,2.782085548648710778e-03,2.250577703613007834e-03,3.037696495701965906e-03,3.755049933090104635e-03,3.768965375272105046e-03,3.285285375732221579e-03,4.416740879879641965e-03,3.385262175962151527e-03,3.239073941730876739e-03,2.968164415931166377e-03,3.223957195745625823e-03,2.899999999999999800e-03,3.003731013256679978e-03,3.238440982942254916e-03,2.355843797877949300e-03,2.612489234427579302e-03,4.047950098506649698e-03,3.668732751237135502e-03,3.059411708155670550e-03,2.401895085135901612e-03,2.573926960890692787e-03,3.612132334231403074e-03,3.572058230208460718e-03,3.706696642564643197e-03,3.086681065481174709e-03,3.182389039699577704e-03,2.995646841668757072e-03,2.977314225942569777e-03,0.000000000000000000e+00
7.070707070707071829e-02,4.025866366386246335e-03,4.550208786418486785e-03,3.374774066511712460e-03,4.172241603742524868e-03,3.469812675058986211e-03,3.988119857777596387e-03,3.821661942139832797e-03,3.680692869555948245e-03,3.770663071662595182e-03,3.208286146839150078e-03,2.308592644881292399e-03,3.916260971896535006e-03,3.793085815006035175e-03,3.742338840885469330e-03,4.157631537305825006e-03,4.983974317750844256e-03,4.874207627912459199e-03,3.374181382202207351e-03,4.258391715190137407e-03,3.273591300086191747e-03,3.270229349755150988e-03,5.003159002070592040e-03,3.868126161334451817e-03,4.028337125911881506e-03,3.487176508294353473e-03,4.069397989875160777e-03,3.355651948578695920e-03,3.370148364686634951e-03,3.769297016686267397e-03,3.646916505762093710e-03,0.000000000000000000e+00
8.080808080808081495e-02,5.263306945257895109e-03,4.072579035451614517e-03,4.316236786831788297e-03,3.645421786295791316e-03,3.854140630542689499e-03,3.336150476222557448e-03,3.684168834350564584e-03,3.981758405528893624e-03,5.804308744372580278e-03,4.114304315434141532e-03,3.208410821575067608e-03,3.676737684415357088e-03,4.521891197275759201e-03,3.363985731242034264e-03,3.675268697660077043e-03,3.786436319284928586e-03,3.502841703531576773e-03,3.605551275463989101e-03,4.591851478434379880e-03,4.386342439892262045e-03,4.017100944711248477e-03,5.295280917949490157e-03,4.625354040503278606e-03,4.546416171007664798e-03,5.138200073955859551e-03,3.470950878361720587e-03,4.095497527773640789e-03,4.211543659989766715e-03,4.537576445637031379e-03,4.087493119260263326e-03,0.000000000000000000e+00
9.090909090909091161e-02,4.794277839257963039e-03,5.361669516111562672e-03,4.763727532090810367e-03,4.514820040710371823e-03,4.528697384458360911e-03,3.918469088815171308e-03,5.739991289191996582e-03,4.554942370656295779e-03,4.405122018741365261e-03,4.648558916481536178e-03,3.759507946527045150e-03,4.393677275358306815e-03,3.361547262794322213e-03,4.051123301011707971e-03,4.305473260862270786e-03,3.092102844343958684e-03,3.925251584293673601e-03,4.502843546027333020e-03,4.532593076815963004e-03,4.071989685645090867e-03,3.732813951967067431e-03,5.427071033255415240e-03,3.987530564146185910e-03,4.205187272880959136e-03,4.208610221914117940e-03,4.032604617365803841e-03,4.616178072821715099e-03,3.799157801408096623e-03,3.871692136521187513e-03,3.928600259634466678e-03,0.000000000000000000e+00
