epsilon,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,mean
0.000000000000000000e+00,1.909581105897311878e-02,1.924634770547388810e-02,1.895874204687642006e-02,2.078638015624654015e-02,1.911276013557434983e-02,1.932214015061478954e-02,2.140391319361952677e-02,2.385129765861807374e-02,2.116793801956156837e-02,2.093390551235005392e-02,1.806304514748274803e-02,2.343876276598233499e-02,2.073695011326400633e-02,1.839593433343357162e-02,2.208614724210630764e-02,2.027845161741892097e-02,1.956315669824274656e-02,2.070550409915199175e-02,2.180389873394205508e-02,2.148231831064794511e-02,1.919211035816540886e-02,2.079729549725155974e-02,2.084706214314141492e-02,2.117603362294270472e-02,1.811974337566622448e-02,2.292111690123323914e-02,1.926089042593825615e-02,2.113632891492749424e-02,2.208105749279232546e-02,1.856429637772463725e-02,0.000000000000000000e+00
1.010101010101010187e-02,1.389372520240701910e-02,1.315663710831913198e-02,1.351477339802632446e-02,1.334347780752829192e-02,1.400906492239935297e-02,1.372595716152429264e-02,1.297697576479204216e-02,1.264476176129862919e-02,1.349749606408536841e-02,1.399769981104038302e-02,1.168253397170322845e-02,1.231309871640766211e-02,1.426103432433987322e-02,1.399632451752959132e-02,1.374619583739443256e-02,1.235044938453657912e-02,1.369452445322582278e-02,1.328913465956305280e-02,1.250377542984518024e-02,1.332769672524101306e-02,1.328323755716203335e-02,1.425317859286131389e-02,1.497979973163860411e-02,1.455355283083824974e-02,1.364748694815276324e-02,1.333558772608091532e-02,1.280585803450905169e-02,1.327163893420854092e-02,1.179523208758522131e-02,1.423773507268624554e-02,0.000000000000000000e+00
2.020202020202020374e-02,7.567139485961654234e-03,1.033697731447641432e-02,9.002638502128139722e-03,8.236959390454708790e-03,7.011875640654217923e-03,7.844354657969003497e-03,1.031552228440227835e-02,8.309482535031888564e-03,7.775705755749763061e-03,9.379466935812503375e-03,8.306045990722661643e-03,8.963392215004317015e-03,9.891668211176516540e-03,7.919116112294351251e-03,9.576319752389225379e-03,7.233774948116647799e-03,9.286678631243787743e-03,9.486748652726076023e-03,7.833670914711696187e-03,6.837097337320859926e-03,8.896488071143579882e-03,6.105497522724909025e-03,8.461979673811560049e-03,8.954747344286155888e-03,8.731981447529535770e-03,8.680437776978761760e-03,6.932322843030321209e-03,9.160240171523887157e-03,9.306449376641984586e-03,7.615090281802311227e-03,0.000000000000000000e+00
3.030303030303030387e-02,8.921317167324565450e-03,8.780091115700336749e-03,1.049809506529637143e-02,9.941202140586418920e-03,8.796840341850020728e-03,1.126518530695345618e-02,9.478396488858229982e-03,9.360641003692000972e-03,9.100961487667112715e-03,8.820226754454785559e-03,1.084912899729743342e-02,8.916142663730768428e-03,8.802295155242183602e-03,9.995498987044118544e-03,8.889831269489875676e-03,9.332716646293296239e-03,9.476729393625206790e-03,8.496322733983215081e-03,8.631708984899804163e-03,9.035369389239159693e-03,8.720229354781902989e-03,9.504793527478648529e-03,9.751799833876821991e-03,1.005223855665990373e-02,9.100609869673570093e-03,8.588108057075202750e-03,8.802107702135892817e-03,8.592293058316853929e-03,9.382558286522926089e-03,8.283302481498548697e-03,0.000000000000000000e+00
4.040404040404040747e-02,8.342631719068030471e-02,8.609371347549134301e-02,8.754711645736826253e-02,9.223947690658268472e-02,8.349172653622632945e-02,9.815970405415859468e-02,9.388092191707535228e-02,1.003781470241406765e-01,9.006127025531007746e-02,9.070544581225539749e-02,8.969428298392267962e-02,8.995774785975914345e-02,8.780777812927507975e-02,8.785636004297013579e-02,9.554343253201656727e-02,8.755627390427254964e-02,8.329413604810365079e-02,9.047066430617163590e-02,8.319966105700191128e-02,8.985705314553776857e-02,8.704336562886340334e-02,8.912596198639316514e-02,8.876288638839996414e-02,9.140751117933361425e-02,9.128218391340117699e-02,9.651904009054378120e-02,8.664706515514533636e-02,9.019548713766115111e-02,8.760622124027493685e-02,9.152659668096482792e-02,0.000000000000000000e+00
5.050505050505051108e-02,2.078286553870760389e-02,2.016988844788190557e-02,1.472025475323032739e-02,2.463031465491255165e-02,1.434590882446978334e-02,1.916474628060596194e-02,2.093258464690874940e-02,3.376893690953270549e-02,1.866606278785111137e-02,2.033474612578185098e-02,2.122719717720641594e-02,4.643022614633704470e-02,3.823247180081350977e-02,2.006482245124536351e-02,1.868545958760447351e-02,3.527919925395132938e-02,2.100905519056009418e-02,2.098241168216847391e-02,3.037087420539619567e-02,4.852154572970651669e-02,2.014373103474130511e-02,1.881057149583711952e-02,3.097039069821367133e-02,2.019974999845295174e-02,2.895112433049881057e-02,1.779472955680979143e-02,4.115455746329924752e-02,1.716186470055046376e-02,2.566802485583960861e-02,1.917054772300468349e-02,0.000000000000000000e+00
6.060606060606060774e-02,8.320077884250844102e-02,9.141482319624098796e-02,9.549199495245661029e-02,7.613857366670326310e-02,9.283215552813582627e-02,9.190654546875320907e-02,8.477257811344421357e-02,8.852228871871761773e-02,1.109914316512765897e-01,1.045389955949453248e-01,8.829354676305624372e-02,8.708381250266894469e-02,9.078537932949336253e-02,1.037880609704218415e-01,9.774151830210128789e-02,9.105391589602283842e-02,8.705348930399056662e-02,8.499680641059403907e-02,9.242073955557811304e-02,1.071195122281650286e-01,9.803653349644714243e-02,9.116699841499663337e-02,8.955087939266705155e-02,8.859030364548933778e-02,9.924526134783463738e-02,8.290219478397420350e-02,8.626856669726233606e-02,8.630092699386257560e-02,9.399313804741279976e-02,9.714571477939723532e-02,0.000000000000000000e+00
7.070707070707071829e-02,1.364344278398967603e-01,1.406942074145201005e-01,1.398542852400311842e-01,1.448128668316458756e-01,1.338922981354790098e-01,1.355268014084299311e-01,1.465751875318602460e-01,1.356066370057159298e-01,1.371132378729348067e-01,1.546032522296992284e-01,1.530447970366846655e-01,1.402931844388742855e-01,1.316918235882547084e-01,1.414978625280254865e-01,1.511554418471263705e-01,1.351820028702045706e-01,1.322754323372258012e-01,1.350787218624754371e-01,1.407075957437977087e-01,1.373280958143671404e-01,1.436264944221643247e-01,1.311264275422769077e-01,1.249066051095777813e-01,1.324006797565631943e-01,1.316145979745408090e-01,1.565198808458529156e-01,1.351116220019580594e-01,1.277797397868691842e-01,1.368874994292758884e-01,1.420143598373065918e-01,1.388452022094544824e-01
8.080808080808081495e-02,1.638628255584529958e-01,1.670789502001972515e-01,1.652983375596983884e-01,1.410319127006366691e-01,1.532445509634845215e-01,1.510021840901647205e-01,1.400956687410427892e-01,1.795824253650673830e-01,1.628245853671981547e-01,1.442384730229767653e-01,1.618378358110364734e-01,1.563638126293932507e-01,1.525084584539493637e-01,1.685338055109419364e-01,1.437975225794937140e-01,1.603102928697967278e-01,1.579602658898749679e-01,1.564952328347416488e-01,1.512840146876066882e-01,1.400321748742052452e-01,1.484677914565984136e-01,1.515187565946869985e-01,1.436583763655986945e-01,1.662316368805890066e-01,1.568318497627315677e-01,1.687859520220803267e-01,1.658519252224706642e-01,1.482131829494259256e-01,1.676714916138101197e-01,1.531175035716034749e-01,1.562577265383184866e-01
9.090909090909091161e-02,1.820642576125253431e-01,1.612307275304555587e-01,1.546228375758251505e-01,1.620984713067954719e-01,1.688465726628763930e-01,1.776212991169696387e-01,1.796592583197426096e-01,1.675055518482894967e-01,1.646086194583989692e-01,1.601479328620884768e-01,1.704225935725659502e-01,1.566743689950592933e-01,1.760293302265278914e-01,1.838804981502932534e-01,1.623373336604984341e-01,1.851940916984124441e-01,1.734915629072491805e-01,2.266100569259890674e-01,1.712297298952492053e-01,1.659212762125460427e-01,1.790807446377192247e-01,1.757461362306437791e-01,1.765768739104869312e-01,1.575951836192971967e-01,1.592467704539090312e-01,1.723762733092927824e-01,1.656384206638061296e-01,1.630705417909684707e-01,1.580323587117524464e-01,1.706092541452543798e-01,1.709389642670496312e-01
