cluster_size,eps_0.500,eps_0.750,eps_0.900
1,0,0,0
2,8539016,3778881,795676
3,3881001,1884470,420491
4,2135342,1091310,254099
5,1333533,701025,169271
6,905384,487342,120696
7,647774,356690,90734
8,486811,271902,70299
9,377723,214837,55908
10,299549,172505,45704
11,243325,142977,38101
12,201530,120367,32458
13,167752,101993,27807
14,142051,87492,23895
15,120897,75483,20964
16,105010,66126,18528
17,91371,58408,16734
18,80127,51766,15151
19,70729,46310,13434
20,62918,41769,12130
21,56232,37308,11089
22,50731,34160,9892
23,45448,30375,9397
24,41362,27889,8604
25,37410,25621,7791
26,33951,23654,7354
27,31580,21484,6573
28,28892,20081,6257
29,26733,18627,5977
30,24501,17315,5397
31,22791,15958,5065
32,21120,14877,4668
33,19773,13875,4440
34,18501,13105,4109
35,17230,12300,3959
36,16047,11578,3811
37,15022,10787,3542
38,14320,10353,3318
39,13534,9780,3122
40,12556,9094,2988
41,12138,8630,2802
42,11355,8149,2723
43,10832,7789,2443
44,10254,7477,2410
45,9735,6848,2286
46,9195,6678,2240
47,8782,6426,2095
48,8215,6073,1978
49,7938,5940,1879
50,7596,5371,1808
51,7301,5119,1868
52,6980,5042,1727
53,6778,4889,1624
54,6479,4694,1501
55,6055,4487,1515
56,5975,4206,1492
57,5678,4050,1384
58,5374,4056,1359
59,5186,3716,1277
60,4895,3600,1263
61,4832,3492,1142
62,4630,3359,1189
63,4483,3313,1125
64,4238,3176,1050
65,4245,3035,1070
66,4031,2919,1040
67,4000,2821,963
68,3733,2645,939
69,3626,2667,928
70,3603,2623,880
71,3365,2450,859
72,3322,2437,841
73,3249,2466,811
74,3151,2370,802
75,3016,2190,740
76,2992,2110,766
77,2806,2127,711
78,2793,1981,730
79,2717,1949,694
80,2612,1910,680
81,2554,1751,605
82,2468,1830,646
83,2430,1712,604
84,2356,1637,625
85,2325,1611,584
86,2309,1576,574
87,2214,1601,565
88,2087,1563,541
89,2110,1483,510
90,2068,1391,539
91,1981,1378,469
92,1944,1386,490
93,1904,1371,472
94,1872,1315,440
95,1851,1245,425
96,1724,1298,429
97,1785,1291,459
98,1654,1194,460
99,1611,1121,389
100,1638,1131,375
101,1612,1141,390
102,1527,1117,389
103,1557,1121,359
104,1491,1039,389
105,1404,1066,351
106,1416,1075,349
107,1365,996,378
108,1318,941,324
109,1334,1000,333
110,1312,863,323
111,1265,951,355
112,1217,856,318
113,1250,869,314
114,1155,825,308
115,1187,850,305
116,1132,814,299
117,1103,801,269
118,1117,734,247
119,1058,761,298
120,1110,732,289
121,1079,777,288
122,1015,680,280
123,988,734,229
124,989,761,245
125,1028,720,250
126,930,637,270
127,943,646,237
128,889,593,234
129,964,636,260
130,899,595,208
131,851,659,213
132,863,622,215
133,839,649,210
134,857,610,239
135,855,559,219
136,818,605,208
137,782,628,191
138,800,565,230
139,782,545,213
140,753,559,181
141,717,500,186
142,733,535,189
143,701,517,191
144,726,530,200
145,774,526,197
146,687,462,190
147,664,500,166
148,686,476,161
149,685,475,165
150,691,439,158
151,678,441,178
152,653,411,149
153,610,463,142
154,586,423,171
155,598,453,164
156,600,406,153
157,558,430,128
158,520,406,147
159,565,409,159
160,590,373,140
161,588,425,154
162,540,401,131
163,563,404,153
164,545,398,126
165,512,380,150
166,508,322,138
167,493,375,128
168,516,358,145
169,496,353,156
170,497,358,88
171,474,335,120
172,463,319,127
173,453,348,138
174,451,337,112
175,468,349,111
176,450,311,119
177,435,298,123
178,432,313,114
179,420,326,124
180,450,317,109
181,437,316,92
182,399,280,114
183,408,288,89
184,407,308,118
185,406,274,107
186,394,244,107
187,414,287,109
188,358,274,121
189,398,272,98
190,387,254,100
191,362,266,104
192,358,261,120
193,399,247,105
194,334,289,87
195,365,232,84
196,371,271,105
197,346,238,92
198,324,263,91
199,366,221,97
200,338,222,86
201,340,240,95
202,339,227,88
203,336,220,74
204,343,226,74
205,297,241,87
206,320,223,87
207,310,201,86
208,317,191,82
209,312,238,96
210,345,217,74
211,277,221,80
212,292,236,87
213,264,191,85
214,266,190,96
215,310,184,75
216,284,198,72
217,272,205,72
218,260,175,73
219,285,220,86
220,264,211,84
221,278,177,67
222,226,187,70
223,250,176,74
224,247,167,72
225,281,181,74
226,266,177,65
227,243,168,62
228,235,196,71
229,236,185,66
230,234,188,77
231,248,172,65
232,253,164,53
233,237,170,60
234,235,179,56
235,221,136,61
236,232,160,67
237,248,185,62
238,207,178,59
239,211,159,54
240,226,182,50
241,206,173,49
242,232,158,66
243,220,152,52
244,215,156,61
245,204,168,45
246,209,166,59
247,224,144,61
248,176,139,48
249,187,132,46
250,198,147,57
251,220,153,54
252,237,170,57
253,173,132,50
254,212,142,44
255,182,119,42
256,165,136,49
257,182,124,63
258,209,124,53
259,168,142,42
260,186,130,62
261,184,148,36
262,172,139,54
263,168,129,46
264,169,117,63
265,186,129,48
266,145,129,58
267,159,117,65
268,168,138,60
269,159,123,55
