cluster_size,eps_0.450,eps_0.600,eps_0.650,eps_0.800,eps_0.850,eps_0.950
1,0,0,0,0,0,0
2,9862104,6389584,5169261,2435554,1202816,455405
3,4433076,3049568,2537949,1224811,631128,249165
4,2415361,1722124,1459306,714648,380714,155444
5,1492062,1094214,935745,464812,252435,105380
6,1004175,749158,646568,325331,179454,75119
7,714496,544856,471914,240728,133758,56506
8,530223,413128,358397,183573,103155,44016
9,407800,324030,281796,146141,82127,35508
10,321132,258458,226311,118550,67075,28883
11,257820,211154,185806,98056,56147,24157
12,210678,176309,155398,83091,47219,20350
13,175987,148738,129947,70622,40213,17588
14,147795,127038,112001,61069,35648,15307
15,125633,109684,96705,53076,30583,13348
16,107939,94836,83955,46575,27068,11905
17,93764,82743,73738,41016,24102,10607
18,81918,73451,65594,37148,21829,9599
19,72441,64950,58345,32936,19368,8871
20,63907,58660,51919,29843,17687,7922
21,57071,52231,46748,26563,15882,7161
22,51656,47282,42275,24526,14688,6656
23,46157,42495,38344,22634,13164,6145
24,42195,38863,34939,20590,12231,5493
25,38082,35386,31753,18532,11527,5117
26,34814,32232,29038,17374,10689,4702
27,31850,29927,26590,16077,9739,4504
28,29316,27603,24531,14797,8943,4290
29,26987,25356,22831,13785,8508,3795
30,25009,23519,21264,12897,7849,3611
31,23478,21739,19487,12158,7564,3327
32,21602,20428,18546,11046,6879,3253
33,20010,19128,17177,10504,6330,2925
34,18627,17903,16212,9691,5975,2890
35,17733,16633,14886,9140,5664,2601
36,16666,15610,14023,8565,5356,2524
37,15611,14410,13240,8082,5037,2400
38,14706,13714,12391,7625,4770,2195
39,13465,13037,11691,7064,4638,2186
40,13000,12126,11173,6704,4135,2010
41,12394,11611,10258,6361,4091,1930
42,11645,10975,9849,6243,3922,1829
43,10900,10402,9419,5825,3714,1796
44,10581,9893,8987,5476,3591,1702
45,9828,9413,8450,5240,3421,1641
46,9596,8936,7980,5008,3323,1537
47,9074,8605,7694,4749,3152,1476
48,8642,8106,7437,4489,2997,1353
49,8220,7662,7029,4327,2865,1343
50,7831,7368,6732,4229,2751,1292
51,7581,7186,6336,4023,2526,1283
52,7187,6681,6153,3723,2510,1272
53,6856,6524,5864,3747,2449,1188
54,6568,6395,5757,3520,2280,1116
55,6384,6082,5389,3378,2143,1052
56,6092,5633,5285,3224,2124,1024
57,5836,5391,5140,3115,1954,1000
58,5670,5319,5002,2972,1949,1005
59,5434,5058,4686,2758,1833,892
60,5305,4767,4337,2781,1811,856
61,4989,4719,4299,2644,1704,877
62,4902,4469,4038,2540,1707,816
63,4712,4384,3895,2477,1627,806
64,4544,4054,4036,2480,1593,766
65,4383,4087,3747,2277,1494,741
66,4205,3965,3677,2111,1500,741
67,3990,3865,3465,2197,1514,722
68,3854,3641,3308,2114,1386,648
